date,FCP_M1,FCP_M2,FCP_M3,FF_O,LTAVG_Y10P,NFCP_M1,NFCP_M2,NFCP_M3,PRIME_NA,TB_M3,TB_M6,TB_WK4,TB_Y1,TCMII_Y10,TCMII_Y20,TCMII_Y30,TCMII_Y5,TCMII_Y7,TCMNOM_M1,TCMNOM_M3,TCMNOM_M6,TCMNOM_Y10,TCMNOM_Y1,TCMNOM_Y20,TCMNOM_Y2,TCMNOM_Y30,TCMNOM_Y3,TCMNOM_Y5,TCMNOM_Y7
20100101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100104,0.13,0.14,0.15,0.12,2.02,0.16,0.11,,3.25,0.08,0.18,0.05,0.41,1.47,2.04,,0.52,0.97,0.05,0.08,0.18,3.85,0.45,4.6,1.09,4.65,1.66,2.65,3.36
20100105,0.15,0.16,0.16,0.12,1.96,0.16,0.17,,3.25,0.07,0.17,0.03,0.37,1.43,1.97,,0.44,0.91,0.03,0.07,0.17,3.77,0.41,4.54,1.01,4.59,1.57,2.56,3.28
20100106,0.11,0.14,0.18,0.12,2.01,0.15,0.16,,3.25,0.06,0.15,0.03,0.36,1.48,2.03,,0.44,0.94,0.03,0.06,0.15,3.85,0.4,4.63,1.01,4.7,1.6,2.6,3.33
20100107,0.1,0.14,0.2,0.1,1.99,0.14,0.16,,3.25,0.05,0.16,0.02,0.36,1.44,2.02,,0.43,0.91,0.02,0.05,0.16,3.85,0.4,4.62,1.03,4.69,1.62,2.62,3.33
20100108,0.11,0.12,0.2,0.11,1.98,0.11,0.15,,3.25,0.05,0.15,0.02,0.33,1.41,2,,0.39,0.88,0.02,0.05,0.15,3.83,0.37,4.61,0.96,4.7,1.56,2.57,3.31
20100111,0.1,0.12,0.16,0.11,2.02,0.14,0.15,,3.25,0.04,0.13,0.01,0.3,1.47,2.04,,0.46,0.88,0.01,0.04,0.13,3.85,0.35,4.64,0.95,4.74,1.55,2.58,3.32
20100112,0.1,0.15,0.15,0.11,1.94,0.12,0.16,,3.25,0.05,0.14,0.02,0.34,1.35,1.96,,0.34,0.78,0.02,0.05,0.14,3.74,0.34,4.52,0.92,4.62,1.5,2.49,3.22
20100113,0.1,0.13,0.17,0.11,2.03,0.15,0.15,0.16,3.25,0.06,0.15,0.02,0.36,1.43,2.05,,0.42,0.86,0.02,0.06,0.15,3.8,0.37,4.6,0.97,4.71,1.54,2.55,3.28
20100114,0.1,0.12,0.16,0.11,1.99,0.14,0.12,0.14,3.25,0.05,0.14,0.02,0.33,1.4,2.01,,0.39,0.84,0.02,0.05,0.14,3.76,0.34,4.52,0.94,4.63,1.49,2.51,3.23
20100115,0.12,0.12,0.16,0.12,1.98,0.11,0.14,0.14,3.25,0.06,0.15,0.03,0.32,1.34,2,,0.34,0.78,0.03,0.06,0.15,3.7,0.33,4.48,0.89,4.58,1.44,2.44,3.17
20100118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100119,0.1,0.24,0.17,0.13,2,0.14,0.17,0.13,3.25,0.06,0.14,0.03,0.32,1.35,2.01,,0.39,0.77,0.03,0.06,0.14,3.73,0.33,4.49,0.93,4.6,1.48,2.48,3.2
20100120,0.11,0.16,0.17,0.13,1.96,0.15,0.11,,3.25,0.05,0.14,0.03,0.3,1.31,1.98,,0.36,0.74,0.03,0.05,0.14,3.68,0.31,4.43,0.92,4.54,1.46,2.45,3.16
20100121,0.11,0.16,0.16,0.12,1.93,0.14,0.11,0.07,3.25,0.06,0.14,0.02,0.3,1.29,1.95,,0.4,0.83,0.02,0.06,0.14,3.62,0.31,4.38,0.87,4.5,1.41,2.38,3.09
20100122,0.11,0.16,0.18,0.11,1.95,0.14,0.12,,3.25,0.06,0.14,0.02,0.28,1.31,1.96,,0.42,0.84,0.02,0.06,0.14,3.62,0.3,4.38,0.84,4.5,1.39,2.37,3.09
20100125,0.13,0.16,0.19,0.12,1.98,0.13,0.15,,3.25,0.06,0.14,0.02,0.28,1.33,2,,0.42,0.85,0.02,0.06,0.14,3.66,0.3,4.42,0.86,4.55,1.4,2.39,3.12
20100126,0.14,0.16,0.2,0.12,1.97,0.12,0.11,,3.25,0.07,0.14,0.02,0.3,1.31,1.99,,0.41,0.83,0.02,0.07,0.14,3.65,0.32,4.43,0.87,4.56,1.4,2.38,3.11
20100127,0.12,0.12,0.19,0.12,1.97,0.11,,,3.25,0.08,0.16,0.01,0.31,1.35,2,,0.47,0.89,0.01,0.08,0.16,3.66,0.33,4.42,0.9,4.55,1.46,2.43,3.14
20100128,0.13,0.17,0.2,0.12,1.95,0.12,0.13,,3.25,0.08,0.15,0.01,0.29,1.35,1.97,,0.47,0.89,0.01,0.08,0.15,3.68,0.31,4.44,0.87,4.57,1.44,2.41,3.15
20100129,0.1,0.15,0.23,0.12,1.9,0.12,,,3.25,0.08,0.15,0.02,0.28,1.3,1.93,,0.43,0.85,0.02,0.08,0.15,3.63,0.3,4.38,0.82,4.51,1.38,2.34,3.08
20100201,0.15,0.19,0.22,0.14,1.9,0.1,0.11,0.13,3.25,0.1,0.17,0.05,0.3,1.29,1.92,,0.39,0.81,0.05,0.1,0.17,3.68,0.33,4.43,0.86,4.56,1.41,2.38,3.12
20100202,0.15,0.19,0.19,0.14,1.89,0.12,0.12,0.1,3.25,0.1,0.17,0.04,0.3,1.26,1.91,,0.35,0.79,0.04,0.1,0.17,3.67,0.33,4.42,0.86,4.55,1.41,2.37,3.11
20100203,0.16,0.18,0.21,0.13,1.93,0.13,0.12,0.17,3.25,0.1,0.17,0.05,0.32,1.3,1.96,,0.35,0.8,0.05,0.1,0.17,3.73,0.35,4.49,0.88,4.62,1.44,2.4,3.16
20100204,0.15,0.17,0.23,0.14,1.9,0.09,0.12,0.15,3.25,0.09,0.16,0.04,0.29,1.27,1.93,,0.3,0.75,0.04,0.09,0.16,3.62,0.32,4.39,0.8,4.53,1.34,2.29,3.06
20100205,0.15,0.17,0.18,0.13,1.94,0.12,0.13,0.14,3.25,0.1,0.17,0.03,0.28,1.32,1.97,,0.34,0.8,0.03,0.1,0.17,3.59,0.31,4.36,0.77,4.51,1.28,2.23,3
20100208,0.15,0.16,0.18,0.13,1.95,0.11,0.12,,3.25,0.12,0.17,0.03,0.29,1.35,1.98,,0.35,0.81,0.04,0.12,0.17,3.62,0.32,4.38,0.79,4.52,1.3,2.26,3.03
20100209,0.16,0.21,0.22,0.13,1.98,0.11,0.13,0.15,3.25,0.12,0.18,0.05,0.34,1.37,2.01,,0.38,0.85,0.05,0.12,0.18,3.67,0.34,4.44,0.84,4.58,1.37,2.32,3.08
20100210,0.17,0.16,0.24,0.12,2.05,0.12,,,3.25,0.11,0.19,0.06,0.37,1.44,2.08,,0.42,0.89,0.06,0.11,0.19,3.72,0.38,4.51,0.91,4.65,1.44,2.39,3.14
20100211,0.13,0.19,0.17,0.12,2.1,0.12,0.14,,3.25,0.11,0.18,0.05,0.37,1.47,2.13,,0.43,0.92,0.05,0.11,0.18,3.73,0.38,4.54,0.91,4.69,1.43,2.39,3.15
20100212,0.14,0.15,0.2,0.12,2.09,0.14,0.14,0.16,3.25,0.1,0.18,0.04,0.34,1.46,2.12,,0.39,0.88,0.04,0.1,0.18,3.69,0.35,4.52,0.84,4.66,1.38,2.35,3.11
20100215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100216,0.15,0.17,0.27,0.13,2.06,0.14,0.13,0.16,3.25,0.1,0.18,0.04,0.33,1.42,2.09,,0.37,0.87,0.04,0.1,0.18,3.66,0.34,4.49,0.82,4.63,1.36,2.32,3.08
20100217,0.13,0.17,0.19,0.12,2.08,0.14,0.13,0.11,3.25,0.1,0.18,0.07,0.34,1.46,2.12,,0.39,0.88,0.07,0.1,0.18,3.74,0.35,4.56,0.87,4.7,1.42,2.4,3.16
20100218,0.13,0.15,0.16,0.12,2.1,0.14,,,3.25,0.1,0.18,0.07,0.35,1.48,2.13,,0.44,0.95,0.07,0.1,0.18,3.79,0.37,4.61,0.9,4.74,1.47,2.46,3.23
20100219,0.18,0.18,0.19,0.13,2.1,0.14,0.14,,3.25,0.11,0.2,0.06,0.37,1.52,2.14,,0.51,1.01,0.06,0.11,0.2,3.78,0.39,4.58,0.95,4.71,1.51,2.48,3.24
20100222,0.13,0.14,0.19,0.12,2.14,0.14,0.13,0.16,3.25,0.11,0.19,0.06,0.35,1.55,2.04,2.22,0.55,1.09,0.06,0.11,0.19,3.8,0.37,4.6,0.91,4.73,1.48,2.47,3.25
