"","FCP_M1","FCP_M2","FCP_M3","FF_O","LTAVG_Y10P","NFCP_M1","NFCP_M2","NFCP_M3","PRIME_NA","TB_M3","TB_M6","TB_WK4","TB_Y1","TCMII_Y10","TCMII_Y20","TCMII_Y30","TCMII_Y5","TCMII_Y7","TCMNOM_M1","TCMNOM_M3","TCMNOM_M6","TCMNOM_Y10","TCMNOM_Y1","TCMNOM_Y20","TCMNOM_Y2","TCMNOM_Y30","TCMNOM_Y3","TCMNOM_Y5","TCMNOM_Y7"
"FCP_M1",1,0.539545595171724,0.295196476253384,0.150508647452291,0.0428700000655566,0.0711487889689707,0.0250460490548714,-0.0531626590849389,0.0822778326191251,0.0258605599819075,0.0188021658065255,0.0123489624106522,0.0134087114702746,0.063990483296228,0.0406484611880368,0.0210574584381832,0.0852643352031816,0.0663261151031552,0.013672867850716,0.0344590148674144,0.0183592916695174,0.053800211534021,0.0285744518229773,0.0430126847125006,0.0226153232666075,0.0199700409929966,0.0429818836945801,0.0579911796904037,0.0589763196331395
"FCP_M2",0.539545595171724,1,0.460499515692163,0.00776679680808859,0.0239086082897567,0.127904215931192,-0.01934466369618,-0.0284496531549601,-0.00394630252104229,0.0665908415437847,0.119260211485844,0.020568124660846,0.0902795210928492,0.0407842794933686,0.0402987438223438,0.0075188119831433,0.0520874950934406,0.0584392682606892,0.0189664597143195,0.0827902978152415,0.117165965049516,0.027905165850119,0.0902630922957565,0.0280011549168338,0.0386677921170634,0.0116130836913113,0.0575482106476955,0.0374205178389089,0.0277452153341801
"FCP_M3",0.295196476253384,0.460499515692163,1,0.0524312353665899,0.00642992303592533,0.0709100877313825,0.0321800233647711,-0.0550694230707325,0.11675713047356,-0.0141617393258032,0.0276423977058827,-0.00509916619458827,0.0415365818751035,0.00790629611053395,0.00360980240149538,-0.00425885185612563,0.0289117850115621,0.038907976331902,-0.0100034466928851,0.00444073507609441,0.0232663947122796,0.0467422367268748,0.0495345966790894,0.0404433790392215,0.00990316253480679,0.0322074018190228,0.037846192828871,0.0337785829495302,0.0432088684640409
"FF_O",0.150508647452291,0.00776679680808859,0.0524312353665899,1,0.0691144708119068,0.0518062991086948,0.102841910048194,0.0404677271897456,0.608368627560296,0.0131417971746167,0.0281253303734793,0.0250306745551403,-0.00403372219966864,0.0820403743399748,0.0554287149985585,0.057100524605254,0.101886949545989,0.111844276960626,0.0207902342412291,0.00755739805336703,0.0276228897979319,0.0218728782845011,0.00141498686523698,0.00365701619164525,0.0440933708361959,0.000910990398624777,0.0441009053781993,0.0437544798384335,0.0348865309942848
"LTAVG_Y10P",0.0428700000655566,0.0239086082897567,0.00642992303592533,0.0691144708119068,1,0.05616482473051,0.0446999080084413,0.00860573552251028,0.0681096139639126,0.0927436211091983,0.184555893160917,-0.003329055853462,0.269979092997946,0.938731541181403,0.908039451836233,0.979724116531823,0.706358347597147,0.76429345977157,-0.00459723766903979,0.0942334349172564,0.187029886393485,0.817892563023471,0.300951278493258,0.814571113832368,0.549326976018389,0.802929572661406,0.652485820941301,0.764542477506968,0.797829945106085
"NFCP_M1",0.0711487889689707,0.127904215931192,0.0709100877313825,0.0518062991086948,0.05616482473051,1,0.26507021151758,0.0655117509912845,-0.0754016273979223,0.135477372303061,0.119436465863821,0.143270015881171,0.0969920283565532,0.0483419274570553,0.0548741125424266,0.0661931590566317,0.0111197300733176,0.0277643722157021,0.137356481195293,0.141175596293537,0.127514091634514,0.0294138069154909,0.0909336340779957,0.0476156586910217,0.0679758422181046,0.0469687276782831,0.0290825613430064,0.0218682653587675,0.0231114444098449
"NFCP_M2",0.0250460490548714,-0.01934466369618,0.0321800233647711,0.102841910048194,0.0446999080084413,0.26507021151758,1,0.376736989810542,0.0132701523547302,0.0497364934105757,0.0745564204903045,0.01257619866367,0.0701445665986245,0.0463848823038026,0.0287249408624608,0.0414282666112024,0.05149069189958,0.0483423425228507,-0.00142990014909872,0.0519678922711243,0.0768796176516013,0.0448328878232173,0.0917612872414282,0.0244288490456321,0.0210736900633318,0.025969754656797,0.0240839122007071,0.0336735375604718,0.0340686071814054
"NFCP_M3",-0.0531626590849389,-0.0284496531549601,-0.0550694230707325,0.0404677271897456,0.00860573552251028,0.0655117509912845,0.376736989810542,1,-0.0565838507829779,0.161247880456829,0.106856357262004,-0.0219862096415436,0.0389923281975732,0.0139604527955468,0.0139753342960885,0.00526196657786089,0.00595158738643161,0.00855870979999279,-0.0275976913352527,0.150495107240749,0.10906296025761,-0.0146746811457505,0.0366925635948887,-0.0141726869180734,-0.0320115715287109,-0.0060786240303781,-0.0251582175325885,-0.0333827266746492,-0.0278581530190698
"PRIME_NA",0.0822778326191251,-0.00394630252104229,0.11675713047356,0.608368627560296,0.0681096139639126,-0.0754016273979223,0.0132701523547302,-0.0565838507829779,1,-0.0916702643111559,-0.0228002205878999,-0.0142147994694838,-0.0188590020764996,0.0725451096896639,0.0542870895250726,0.0603652178872457,0.0796506315794131,0.0787647053749533,-0.0149856776505293,-0.0907863249962055,-0.0224594849413069,0.0378953070355433,-0.0203483214344989,0.0192814826289007,0.0242448468580467,0.0132385111998436,0.0375726856958589,0.0552601694676107,0.0502024813571387
"TB_M3",0.0258605599819075,0.0665908415437847,-0.0141617393258032,0.0131417971746167,0.0927436211091983,0.135477372303061,0.0497364934105757,0.161247880456829,-0.0916702643111559,1,0.556546940790589,0.356823880596761,0.27919264551389,0.108424419151887,0.0975242683414801,0.0703692069119723,0.120873558080761,0.107420524821904,0.395563291593653,0.982462784909278,0.538192062761031,0.0645060436506333,0.298464936952853,0.0535516898297764,0.15512137456139,0.0477462349746023,0.115486103321374,0.084619273825672,0.0729320394885808
"TB_M6",0.0188021658065255,0.119260211485844,0.0276423977058827,0.0281253303734793,0.184555893160917,0.119436465863821,0.0745564204903045,0.106856357262004,-0.0228002205878999,0.556546940790589,1,0.329000941326625,0.57319192523708,0.210900277440542,0.188280669848728,0.150725753799,0.216721467871122,0.194945683743996,0.318897908859737,0.550391988688432,0.990922699810924,0.242455679570225,0.592927253383762,0.217189539369582,0.399007479853758,0.206110612657854,0.32829799450372,0.28093729048461,0.258201928216238
"TB_WK4",0.0123489624106522,0.020568124660846,-0.00509916619458827,0.0250306745551403,-0.003329055853462,0.143270015881171,0.01257619866367,-0.0219862096415436,-0.0142147994694838,0.356823880596761,0.329000941326625,1,0.217262573252003,0.0210704008420525,0.00720965088341824,-0.0168771703515033,0.0491318636592559,0.0513624212570932,0.983711312296086,0.358462655756083,0.337421463796133,-0.000955760658965899,0.209073516243552,-0.00429038691378546,0.0717581999174057,-0.00526226450468794,0.0431741084087343,0.0189386098910597,0.00400138315743935
